"","name","group","type","category","valuetype","default","min","max","Dislich2018"
"142","bc_r-pshdi","parameter","global","biocontrol","numeric","-0.675094",-0.7426034,-0.6075846,NA
"143","bc_op-intercept","parameter","global","biocontrol","numeric","0.761321",0.6851889,0.8374531,NA
"144","bc_op-pzmax","parameter","global","biocontrol","numeric","-0.114749",-0.1262239,-0.1032741,NA
"145","bc_op-prubber","parameter","global","biocontrol","numeric","0.005093",0.0045837,0.0056023,NA
"146","bc_op-pforest","parameter","global","biocontrol","numeric","-0.016152",-0.0177672,-0.0145368,NA
"147","bc_op-ped","parameter","global","biocontrol","numeric","-66.190439",-72.8094829,-59.5713951,NA
"148","bc_r-zmax-intercept","parameter","global","biocontrol","numeric","11.99827",10.798443,13.198097,NA
"149","bc_r-zmax-page","parameter","global","biocontrol","numeric","0.46252",0.416268,0.508772,NA
"150","bc_op-zmax-intercept","parameter","global","biocontrol","numeric","7.33052",6.597468,8.063572,NA
"151","bc_op-zmax-page","parameter","global","biocontrol","numeric","0.43109",0.387981,0.474199,NA
"152","hh_age_alpha","parameter","global","hhage","numeric","14.24",12.816,15.664,NA
"153","hh_age_lambda","parameter","global","hhage","numeric","0.31",0.279,0.341,NA
"154","hh_age_min","parameter","global","hhage","numeric","18",16,20,NA
"155","hh_age_max","parameter","global","hhage","numeric","80",72,88,NA
"156","age_generation","parameter","global","hhage","numeric","40",36,44,NA
"157","takeover_prob","parameter","global","hhage","numeric","0.5",0.45,0.55,NA
"158","write-maps?","parameter","global","output","boolean","FALSE",NA,NA,NA
"159","write-hh-data-to-file?","parameter","global","output","boolean","FALSE",NA,NA,NA
"160","export-view?","parameter","global","output","boolean","FALSE",NA,NA,NA
"161","show-homebases?","parameter","global","output","boolean","TRUE",NA,NA,NA
"162","show-roads?","parameter","global","output","boolean","TRUE",NA,NA,NA
"163","gr-reproducible?","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA
"164","gr-rnd-seed","parameter","global","LGRaf","numeric","100",NA,NA,NA
"165","gr-width","parameter","global","LGRaf","numeric","100",NA,NA,NA
"166","gr-height","parameter","global","LGRaf","numeric","100",NA,NA,NA
"167","gr-cell-length-meter","parameter","global","LGRaf","numeric","50",NA,NA,NA
"168","gr-road.algorithm","parameter","global","LGRaf","string","""real.shapefile""",NA,NA,NA
"169","gr-total-road-length","parameter","global","LGRaf","numeric","1099",NA,NA,NA
"170","gr-road-map-id","parameter","global","LGRaf","string","""jambi1""",NA,NA,NA
"171","gr-min-dist-roads","parameter","global","LGRaf","numeric","5",NA,NA,NA
"172","gr-perlin-octaves","parameter","global","LGRaf","numeric","10",NA,NA,NA
"173","gr-perlin-persistence","parameter","global","LGRaf","numeric","0.8",NA,NA,NA
"174","gr-setup-model","parameter","global","LGRaf","string","""number-of-households""",NA,NA,NA
"175","gr-number-of-households","parameter","global","LGRaf","numeric","100",NA,NA,50
"176","gr-number-of-villages","parameter","global","LGRaf","numeric","12",NA,NA,NA
"177","gr-proportion-agricultural-area","parameter","global","LGRaf","numeric","0.3",NA,NA,NA
"178","gr-households-per-cell","parameter","global","LGRaf","numeric","1",NA,NA,NA
"179","gr-cone-angle","parameter","global","LGRaf","numeric","120",NA,NA,NA
"180","gr-dist-weight","parameter","global","LGRaf","numeric","0.6",NA,NA,NA
"181","gr-hh-area-distribution","parameter","global","LGRaf","string","""log-normal""",NA,NA,NA
