"","name","group","type","category","valuetype","default","min","max","Dislich2018","comment_D2018","model2018","comment_m2018"
"269","p.biocontrol.mean","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"270","p.biocontrol.sd","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"271","p.biocontrol.rub","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"272","p.biocontrol.rub.sd","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"273","p.biocontrol.oil","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"274","p.biocontrol.oil.sd","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"275","p.zmax.mean","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"276","p.rubber_prop.mean","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"277","p.shdi.mean","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"278","p.forest_prop.mean","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"279","p.ed_prop.mean","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"280","p.bird.richness.max","variable","global","birdrichness","numeric",NA,NA,NA,NA,"",NA,""
"281","p.bird.richness.min","variable","global","birdrichness","numeric",NA,NA,NA,NA,"",NA,""
"282","p.bird.richness.mean","variable","global","birdrichness","numeric",NA,NA,NA,NA,"",NA,""
"283","pxcor","variable","patches","landscape","numeric",NA,NA,NA,NA,"",NA,""
"284","pycor","variable","patches","landscape","numeric",NA,NA,NA,NA,"",NA,""
"285","pcolor","variable","patches","landscape","numeric",NA,NA,NA,NA,"",NA,""
"286","p_landuse","variable","patches","landscape","numeric",NA,NA,NA,NA,"",NA,""
"287","p_management","variable","patches","management","numeric",NA,NA,NA,NA,"",NA,""
"288","p_road","variable","patches","landscape","numeric",NA,NA,NA,NA,"",NA,""
"289","p_age","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"290","p_fieldsize","variable","patches","landscape","numeric",NA,NA,NA,NA,"",NA,""
"291","p_carbon","variable","patches","carbon","numeric",NA,NA,NA,NA,"",NA,""
"292","p_carbon_soil","variable","patches","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"293","p_carbon_dead","variable","patches","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"294","p_owner","variable","patches","household","agent",NA,NA,NA,NA,"",NA,""
"295","p_homebase","variable","patches","household","numeric",NA,NA,NA,NA,"",NA,""
"296","p_production","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"297","p_id","variable","patches","landscape","numeric",NA,NA,NA,NA,"",NA,""
"298","p_labor","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"299","p_tinput","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"300","p_capitalstock","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"301","p_invest","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"302","p_actual_production","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"303","p_optimal_production","variable","patches","production","numeric",NA,NA,NA,NA,"",NA,""
"304","p_impact_ncinv","variable","patches","biodiversity","boolean",NA,NA,NA,NA,"",NA,""
"305","p_landuse_ncinv","variable","patches","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"306","p_hq_ncinv","variable","patches","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"307","p_biocontrol","variable","patches","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
"308","who","variable","turtles","household","numeric",NA,NA,NA,NA,"",NA,""
"309","h_homebase","variable","turtles","household","agent",NA,NA,NA,NA,"",NA,""
"310","h_id","variable","turtles","household","numeric",NA,NA,NA,NA,"",NA,""
"311","h_area","variable","turtles","household","numeric",NA,NA,NA,NA,"",NA,""
"312","h_patches","variable","turtles","household","agentset",NA,NA,NA,NA,"",NA,""
"313","h_field_id_list","variable","turtles","household","list",NA,NA,NA,NA,"",NA,""
"314","h_wealth","variable","turtles","wealth","numeric",NA,NA,NA,NA,"",NA,""
"315","h_debts","variable","turtles","wealth","numeric",NA,NA,NA,NA,"",NA,""
"316","h_debt_years","variable","turtles","wealth","numeric",NA,NA,NA,NA,"",NA,""
"317","h_capitalstock","variable","turtles","wealth","numeric",NA,NA,NA,NA,"",NA,""
"318","h_exincome","variable","turtles","wealth","numeric",NA,NA,NA,NA,"",NA,""
"319","h_netcashflow","variable","turtles","production","numeric",NA,NA,NA,NA,"",NA,""
"320","h_netcashflow_exp","variable","turtles","production","numeric",NA,NA,NA,NA,"",NA,""
"321","h_consumption","variable","turtles","consumption","numeric",NA,NA,NA,NA,"",NA,""
"322","h_fixconsumption","variable","turtles","consumption","numeric",NA,NA,NA,NA,"",NA,""
"323","h_varconsumption","variable","turtles","consumption","numeric",NA,NA,NA,NA,"",NA,""
"324","h_cost_investment","variable","turtles","costs","numeric",NA,NA,NA,NA,"",NA,""
"325","h_cost_labor","variable","turtles","costs","numeric",NA,NA,NA,NA,"",NA,""
"326","h_cost_tinput","variable","turtles","costs","numeric",NA,NA,NA,NA,"",NA,""
"327","h_cost_capital","variable","turtles","costs","numeric",NA,NA,NA,NA,"",NA,""
"328","h_cost_land","variable","turtles","costs","numeric",NA,NA,NA,NA,"",NA,""
"329","h_revenue","variable","turtles","production","numeric",NA,NA,NA,NA,"",NA,""
"330","h_production","variable","turtles","production","numeric",NA,NA,NA,NA,"",NA,""
"331","h_inefficiencies","variable","turtles","inefficiency","list",NA,NA,NA,NA,"",NA,""
"332","h_management","variable","turtles","management","list",NA,NA,NA,NA,"",NA,""
"333","h_land-use-change","variable","turtles","production","list",NA,NA,NA,NA,"",NA,""
"334","h_connected_hhs","variable","turtles","inefficiency","agentset",NA,NA,NA,NA,"",NA,""
